article_title,country,article_quality,revision_id,population,region
Glauk Konjufca,Albania,"""Start""",1110511667,2.8,SOUTHERN EUROPE
Xhelal Koprëncka,Albania,"""Stub""",1106794268,2.8,SOUTHERN EUROPE
Kryeziu family,Albania,"""Start""",1113466121,2.8,SOUTHERN EUROPE
Artur Kuko,Albania,"""Stub""",1112281132,2.8,SOUTHERN EUROPE
Xhavid Leskoviku,Albania,"""Start""",1080104315,2.8,SOUTHERN EUROPE
Sabit Lulo,Albania,"""Stub""",1071576324,2.8,SOUTHERN EUROPE
Gjon Markagjoni,Albania,"""C""",1114419158,2.8,SOUTHERN EUROPE
Tefik Mborja,Albania,"""Start""",1112281218,2.8,SOUTHERN EUROPE
Fatmir Mediu,Albania,"""Stub""",1108640753,2.8,SOUTHERN EUROPE
Hysni Milloshi,Albania,"""Start""",1111101481,2.8,SOUTHERN EUROPE
Musa Qazimi,Albania,"""GA""",1085455681,2.8,SOUTHERN EUROPE
Mustafa Ndroqi,Albania,"""Stub""",1091483288,2.8,SOUTHERN EUROPE
Behxhet Nepravishta,Albania,"""Stub""",1114419169,2.8,SOUTHERN EUROPE
Adrian Neritani,Albania,"""Start""",1112281129,2.8,SOUTHERN EUROPE
Sali Nivica,Albania,"""Start""",1074384873,2.8,SOUTHERN EUROPE
Thoma Orologa,Albania,"""Start""",1114419178,2.8,SOUTHERN EUROPE
Bedri Pejani,Albania,"""C""",1080373501,2.8,SOUTHERN EUROPE
Pertef Pogoni,Albania,"""Stub""",1071576384,2.8,SOUTHERN EUROPE
Kadri Prishtina,Albania,"""Start""",1114907355,2.8,SOUTHERN EUROPE
Ymer Prizreni,Albania,"""Start""",1114419180,2.8,SOUTHERN EUROPE
Avni Rustemi,Albania,"""C""",1113688253,2.8,SOUTHERN EUROPE
Chatin Sarachi,Albania,"""C""",1089622596,2.8,SOUTHERN EUROPE
Nebi Sefa,Albania,"""Stub""",978173646,2.8,SOUTHERN EUROPE
Eduard Shalsi,Albania,"""Start""",1090651886,2.8,SOUTHERN EUROPE
Ylli Vesel Shehu,Albania,"""Stub""",1002857261,2.8,SOUTHERN EUROPE
Athanas Shundi,Albania,"""B""",1090001664,2.8,SOUTHERN EUROPE
Xhelal Sveçla,Albania,"""Start""",1110419834,2.8,SOUTHERN EUROPE
Mehmet Tahsini,Albania,"""Stub""",1089358942,2.8,SOUTHERN EUROPE
Ibrahim Temo,Albania,"""GA""",1114899959,2.8,SOUTHERN EUROPE
Pavli Terka,Albania,"""Start""",1107079359,2.8,SOUTHERN EUROPE
Afrim Tole,Albania,"""Stub""",1091240960,2.8,SOUTHERN EUROPE
Sejfi Vllamasi,Albania,"""Start""",1073823015,2.8,SOUTHERN EUROPE
Syrja Vlora,Albania,"""Start""",1109383587,2.8,SOUTHERN EUROPE
Visarion Xhuvani,Albania,"""C""",1115321286,2.8,SOUTHERN EUROPE
Visar Ymeri,Albania,"""Stub""",1036757024,2.8,SOUTHERN EUROPE
Abdyl Ypi,Albania,"""Stub""",1075914314,2.8,SOUTHERN EUROPE
Xhezair Zaganjori,Albania,"""Start""",1106753028,2.8,SOUTHERN EUROPE
Menduh Zavalani,Albania,"""GA""",1071577719,2.8,SOUTHERN EUROPE
Said Abadou,Algeria,"""Stub""",1112193748,44.9,NORTHERN AFRICA
Tahar Allan,Algeria,"""Stub""",1059626268,44.9,NORTHERN AFRICA
Mohamed Seghir Babes,Algeria,"""Stub""",1079379844,44.9,NORTHERN AFRICA
Djelloul Baghli,Algeria,"""Stub""",1053461392,44.9,NORTHERN AFRICA
Noureddine Bahbouh,Algeria,"""Stub""",1099284595,44.9,NORTHERN AFRICA
Lamine Bechichi,Algeria,"""Stub""",1111537825,44.9,NORTHERN AFRICA
Bakhti Belaïb,Algeria,"""Stub""",1107713309,44.9,NORTHERN AFRICA
Mohamed Belouizdad,Algeria,"""Start""",1102331624,44.9,NORTHERN AFRICA
Mourad Benachenou,Algeria,"""Stub""",1091746754,44.9,NORTHERN AFRICA
Benaouda Hadj Hacène Bachterzi,Algeria,"""Stub""",1064464792,44.9,NORTHERN AFRICA
Souad Bendjaballah,Algeria,"""Stub""",1064463751,44.9,NORTHERN AFRICA
Mohammed Saleh Bendjelloul,Algeria,"""Stub""",1064459314,44.9,NORTHERN AFRICA
Mohamed Bensalam,Algeria,"""Stub""",1053464158,44.9,NORTHERN AFRICA
Said Boualam,Algeria,"""Start""",1104123484,44.9,NORTHERN AFRICA
Abdeslam Bouchouareb,Algeria,"""Stub""",1053459025,44.9,NORTHERN AFRICA
Brahim Chibout,Algeria,"""Stub""",1053460621,44.9,NORTHERN AFRICA
Bouras Djamel,Algeria,"""Stub""",1072064909,44.9,NORTHERN AFRICA
Ahmed Djebbar,Algeria,"""Stub""",1112131049,44.9,NORTHERN AFRICA
Fatiha Serour,Algeria,"""Start""",1019766063,44.9,NORTHERN AFRICA
Mohamed Hassaïne,Algeria,"""C""",1098798192,44.9,NORTHERN AFRICA
Ibrahim Boughali,Algeria,"""Stub""",1110540602,44.9,NORTHERN AFRICA
Abdenour Keramane,Algeria,"""Stub""",1028900906,44.9,NORTHERN AFRICA
Abelkader Khamri,Algeria,"""Stub""",1088927932,44.9,NORTHERN AFRICA
Mahmoud Khedri,Algeria,"""Stub""",1102198843,44.9,NORTHERN AFRICA
Mohamed Laïchoubi,Algeria,"""Stub""",1053469601,44.9,NORTHERN AFRICA
Sassi Lamouri,Algeria,"""Stub""",1053478920,44.9,NORTHERN AFRICA
Mohamed Maghlaoui,Algeria,"""Stub""",1053469610,44.9,NORTHERN AFRICA
Amar Makhloufi,Algeria,"""Stub""",1053459748,44.9,NORTHERN AFRICA
Hacen Mefti,Algeria,"""Stub""",1053461924,44.9,NORTHERN AFRICA
Mokhtar Meherzi,Algeria,"""Stub""",1028900891,44.9,NORTHERN AFRICA
Mohamed Elias Mesli,Algeria,"""Stub""",1009461580,44.9,NORTHERN AFRICA
Azzedine Mihoubi,Algeria,"""Start""",1031600815,44.9,NORTHERN AFRICA
Cherif Rahmani,Algeria,"""Stub""",1053461144,44.9,NORTHERN AFRICA
Naima Salhi,Algeria,"""Stub""",1113203380,44.9,NORTHERN AFRICA
Guillem d'Areny-Plandolit,Andorra,"""FA""",1100710928,0.1,SOUTHERN EUROPE
Guillem Areny,Andorra,"""Stub""",1101200095,0.1,SOUTHERN EUROPE
Joan Armengol,Andorra,"""Stub""",1105550472,0.1,SOUTHERN EUROPE
Francesc Badia Batalla,Andorra,"""Stub""",1102180575,0.1,SOUTHERN EUROPE
Josep Maria Beal,Andorra,"""Stub""",1104772844,0.1,SOUTHERN EUROPE
Climent Palmitjavila,Andorra,"""Stub""",1102731108,0.1,SOUTHERN EUROPE
Antoni Puigdellívol,Andorra,"""Start""",1100253414,0.1,SOUTHERN EUROPE
Òscar Ribas Reig,Andorra,"""C""",1105529195,0.1,SOUTHERN EUROPE
Boris Skossyreff,Andorra,"""GA""",1114575861,0.1,SOUTHERN EUROPE
Enric Tarrado Vives,Andorra,"""Stub""",986671433,0.1,SOUTHERN EUROPE
Alexandre Sebastião André,Angola,"""Stub""",979043156,35.6,MIDDLE AFRICA
Isaac Maria dos Anjos,Angola,"""Stub""",1087791055,35.6,MIDDLE AFRICA
Paulino Baptista,Angola,"""Start""",1098277989,35.6,MIDDLE AFRICA
João Baptista Borges,Angola,"""Start""",1108136082,35.6,MIDDLE AFRICA
Branca Manuel Espirito Santo,Angola,"""Stub""",1082903108,35.6,MIDDLE AFRICA
André Luís Brandão,Angola,"""Stub""",1092527809,35.6,MIDDLE AFRICA
André Gaspar Mendes de Carvalho,Angola,"""Stub""",871672690,35.6,MIDDLE AFRICA
Carolina Cerqueira,Angola,"""C""",1081277226,35.6,MIDDLE AFRICA
Arlete Chimbinda,Angola,"""Start""",1101656146,35.6,MIDDLE AFRICA
Kafundanga Chingunji,Angola,"""Stub""",1111470901,35.6,MIDDLE AFRICA
Jeremias Chitunda,Angola,"""Start""",1076646666,35.6,MIDDLE AFRICA
Abel Chivukuvuku,Angola,"""Start""",987997249,35.6,MIDDLE AFRICA
Adalberto Costa Júnior,Angola,"""Stub""",1107102259,35.6,MIDDLE AFRICA
Adjany Costa,Angola,"""Start""",1081302172,35.6,MIDDLE AFRICA
Álvaro Arnaldo Craveiro,Angola,"""Stub""",1112653739,35.6,MIDDLE AFRICA
Raul Danda,Angola,"""Stub""",1099408586,35.6,MIDDLE AFRICA
Carlos António Fernandes,Angola,"""Stub""",1003396569,35.6,MIDDLE AFRICA
Fiel Domingos Constantino,Angola,"""Stub""",1082902869,35.6,MIDDLE AFRICA
Abraão Gourgel,Angola,"""Stub""",1080440646,35.6,MIDDLE AFRICA
Maria Monteiro Jardin,Angola,"""Stub""",1095470855,35.6,MIDDLE AFRICA
José da Rocha,Angola,"""Stub""",1094974511,35.6,MIDDLE AFRICA
Mateus de Brito Júnior,Angola,"""Stub""",1054271575,35.6,MIDDLE AFRICA
Kambamba Kulaxingo,Angola,"""Stub""",1093124425,35.6,MIDDLE AFRICA
Abel Xavier Nzuzi Lubota,Angola,"""Stub""",1080325199,35.6,MIDDLE AFRICA
David Mendes,Angola,"""Stub""",1024544204,35.6,MIDDLE AFRICA
Fernando Faustino Muteka,Angola,"""Stub""",1079490106,35.6,MIDDLE AFRICA
José Ndele,Angola,"""Stub""",1101583647,35.6,MIDDLE AFRICA
Daniel Ntongi-Nzinga,Angola,"""Stub""",848334573,35.6,MIDDLE AFRICA
Pedro Tonho Pedale,Angola,"""Stub""",1113903559,35.6,MIDDLE AFRICA
Elias Salupeto Pena,Angola,"""Stub""",994023688,35.6,MIDDLE AFRICA
Pinda Simão,Angola,"""Stub""",1093735313,35.6,MIDDLE AFRICA
Johnny Eduardo Pinnock,Angola,"""Stub""",992923654,35.6,MIDDLE AFRICA
Santana André Pitra,Angola,"""Stub""",886771177,35.6,MIDDLE AFRICA
José Aníbal Lopes Rocha,Angola,"""Stub""",985054758,35.6,MIDDLE AFRICA
Luís Gomes Sambo,Angola,"""Start""",1114131425,35.6,MIDDLE AFRICA
José Filomeno dos Santos,Angola,"""Start""",1111269228,35.6,MIDDLE AFRICA
Jonas Savimbi,Angola,"""C""",1110987217,35.6,MIDDLE AFRICA
Manuel Bernardo de Sousa,Angola,"""Stub""",886461023,35.6,MIDDLE AFRICA
Augusto da Silva Tomás,Angola,"""Stub""",1112407992,35.6,MIDDLE AFRICA
Luzia Inglês Van-Dúnem,Angola,"""Start""",1067323463,35.6,MIDDLE AFRICA
Manuel Vicente,Angola,"""C""",1106406859,35.6,MIDDLE AFRICA
Mfulupinga Nlando Victor,Angola,"""Start""",994085067,35.6,MIDDLE AFRICA
Randolph Beazer,Antigua and Barbuda,"""Stub""",1094157275,0.1,CARIBBEAN
Studiation Brown,Antigua and Barbuda,"""Stub""",825090349,0.1,CARIBBEAN
Colin O'Neil Browne,Antigua and Barbuda,"""Stub""",1108425154,0.1,CARIBBEAN
James Carlisle,Antigua and Barbuda,"""C""",1112658085,0.1,CARIBBEAN
Gail Christian,Antigua and Barbuda,"""Start""",1082380535,0.1,CARIBBEAN
Osbert Richard Frederick,Antigua and Barbuda,"""Start""",1082381271,0.1,CARIBBEAN
William Haynes-Smith,Antigua and Barbuda,"""C""",1037116181,0.1,CARIBBEAN
Tim Hector,Antigua and Barbuda,"""C""",1075044001,0.1,CARIBBEAN
Cheryl Mary Clare Hurst,Antigua and Barbuda,"""Stub""",1082380270,0.1,CARIBBEAN
Wilfred Jacobs,Antigua and Barbuda,"""Stub""",1110866224,0.1,CARIBBEAN
Harold Lovell,Antigua and Barbuda,"""Start""",1106157497,0.1,CARIBBEAN
John Lyons (Antiguan politician),Antigua and Barbuda,"""C""",1102523754,0.1,CARIBBEAN
Edmond Mansoor,Antigua and Barbuda,"""Stub""",1106044619,0.1,CARIBBEAN
Joanne Massiah,Antigua and Barbuda,"""Stub""",1095742971,0.1,CARIBBEAN
Melford Walter Nicholas,Antigua and Barbuda,"""Start""",1113392435,0.1,CARIBBEAN
Bernard Percival,Antigua and Barbuda,"""Stub""",1073473676,0.1,CARIBBEAN
Alincia Williams-Grant,Antigua and Barbuda,"""Start""",1080767913,0.1,CARIBBEAN
Joaquín Samuel de Anchorena,Argentina,"""Start""",1096421201,46.2,SOUTH AMERICA
Juan Agustín Augier,Argentina,"""Stub""",989941326,46.2,SOUTH AMERICA
Uladislao Augier,Argentina,"""Stub""",1083670137,46.2,SOUTH AMERICA
Joaquín Belgrano,Argentina,"""Start""",1033486500,46.2,SOUTH AMERICA
Antonio Bermejo,Argentina,"""Start""",1111012579,46.2,SOUTH AMERICA
Antonio Beruti,Argentina,"""Start""",1072761348,46.2,SOUTH AMERICA
Héctor Bidonde,Argentina,"""Start""",1091652004,46.2,SOUTH AMERICA
Silvano Bores,Argentina,"""Stub""",1035890502,46.2,SOUTH AMERICA
Pedro Braillard Poccard,Argentina,"""Stub""",1100848745,46.2,SOUTH AMERICA
Exequiel Bustillo,Argentina,"""Stub""",1096179751,46.2,SOUTH AMERICA
Mario Cafiero,Argentina,"""Stub""",1102185475,46.2,SOUTH AMERICA
Alberto Manuel Campos,Argentina,"""Start""",1073206939,46.2,SOUTH AMERICA
Alejo Castex,Argentina,"""C""",1096414709,46.2,SOUTH AMERICA
Dámaso Centeno,Argentina,"""Stub""",1096183091,46.2,SOUTH AMERICA
Carlos Corach,Argentina,"""Stub""",1068148753,46.2,SOUTH AMERICA
